locator	band	domain	subdomain	task_L3	current_disposition	recommendation	merged_with	roadmap_wave	knowledge_pack	rationale	class	coverage_via	box_trigger	box_input	box_output	box_refuses	four_box_status
A/1/1.1/ADME and routes of elimination	A	Scientific foundations	Drug disposition	ADME and routes of elimination	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/mass-balance-ame.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/mass-balance-ame.md	skill	self	Please review the materials for ADME and routes of elimination and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for ADME and routes of elimination	Source-linked finding register with denominators	Decide the outcome of ADME and routes of elimination; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/1/1.1/Metabolite profiling and MIST	A	Scientific foundations	Drug disposition	Metabolite profiling and MIST	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/mass-balance-ame.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/mass-balance-ame.md	skill	self	Please review the materials for Metabolite profiling and MIST and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Metabolite profiling and MIST	Source-linked finding register with denominators	Decide the outcome of Metabolite profiling and MIST; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/1/1.1/Enzyme and transporter biology	A	Scientific foundations	Drug disposition	Enzyme and transporter biology	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	shared-reference	carried by L3: In-vitro DDI package	no distinct invocation	no distinct input class	no independent artifact	n/a - knowledge, not a decision	RECORDED
A/1/1.1/Protein binding and tissue distribution	A	Scientific foundations	Drug disposition	Protein binding and tissue distribution	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/hepatic-impairment.md; shared/modules/renal-impairment.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/hepatic-impairment.md; shared/modules/renal-impairment.md	shared-reference	carried by L3: Hepatic impairment	no distinct invocation	no distinct input class	no independent artifact	n/a - knowledge, not a decision	RECORDED
A/1/1.2/Non-compartmental analysis	A	Scientific foundations	Exposure characterisation	Non-compartmental analysis	skill	OWN-SKILL (exists)	NONE	Now		Package present: verify-nca-outputs. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
A/1/1.2/Parameter plausibility and unit integrity	A	Scientific foundations	Exposure characterisation	Parameter plausibility and unit integrity	gap	OWN-SKILL (new; wraps tool)	NONE	Next	shared/tools/pk_plausibility.py	Own skill journey wrapping tool: shared/tools/pk_plausibility.py	skill	self	Please review the materials for Parameter plausibility and unit integrity and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Parameter plausibility and unit integrity	Source-linked finding register with denominators	Decide the outcome of Parameter plausibility and unit integrity; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/1/1.2/Dose proportionality, accumulation, time dependency	A	Scientific foundations	Exposure characterisation	Dose proportionality, accumulation, time dependency	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/dose-proportionality-accumulation.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/dose-proportionality-accumulation.md	skill	self	Please review the materials for Dose proportionality, accumulation, time dependency and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Dose proportionality, accumulation, time dependency	Source-linked finding register with denominators	Decide the outcome of Dose proportionality, accumulation, time dependency; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/1/1.2/Phase 0 and microdosing approaches	A	Scientific foundations	Exposure characterisation	Phase 0 and microdosing approaches	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	shared-reference	carried by L3: Study versus model versus waiver decisions	no distinct invocation	no distinct input class	no independent artifact	n/a - knowledge, not a decision	RECORDED
A/1/1.3/Pharmacodynamics and biomarkers	A	Scientific foundations	Response characterisation	Pharmacodynamics and biomarkers	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	shared-reference	carried by L3: Biomarker fit-for-purpose	no distinct invocation	no distinct input class	no independent artifact	n/a - knowledge, not a decision	RECORDED
A/1/1.3/Target engagement	A	Scientific foundations	Response characterisation	Target engagement	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	shared-reference	carried by L3: Biomarker and target-engagement strategy	no distinct invocation	no distinct input class	no independent artifact	n/a - knowledge, not a decision	RECORDED
A/1/1.3/Exposure-response relationships	A	Scientific foundations	Response characterisation	Exposure-response relationships	gap	OWN-SKILL (new; was asset-only)	NONE	Next	shared/assets/review-rubric-library.md	Promote from shared asset to skill: shared/assets/review-rubric-library.md	skill	self	Please review the materials for Exposure-response relationships and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Exposure-response relationships	Source-linked finding register with denominators	Decide the outcome of Exposure-response relationships; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/1/1.4/Bioanalytical assays and validation	A	Scientific foundations	Measurement science	Bioanalytical assays and validation	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-bioanalytical-report. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
